name	type	units	low_cutoff	high_cutoff	sampling_frequency
01-02	ECOG	μV	800	1	2000
02-03	ECOG	μV	800	1	2000
03-04	ECOG	μV	800	1	2000
04-05	ECOG	μV	800	1	2000
05-06	ECOG	μV	800	1	2000
06-07	ECOG	μV	800	1	2000
09-10	ECOG	μV	800	1	2000
10-11	ECOG	μV	800	1	2000
11-12	ECOG	μV	800	1	2000
12-13	ECOG	μV	800	1	2000
13-14	ECOG	μV	800	1	2000
14-15	ECOG	μV	800	1	2000
15-16	ECOG	μV	800	1	2000
17-18	ECOG	μV	800	1	2000
18-19	ECOG	μV	800	1	2000
19-20	ECOG	μV	800	1	2000
22-23	ECOG	μV	800	1	2000
23-24	ECOG	μV	800	1	2000
25-26	ECOG	μV	800	1	2000
26-27	ECOG	μV	800	1	2000
27-28	ECOG	μV	800	1	2000
28-29	ECOG	μV	800	1	2000
29-30	ECOG	μV	800	1	2000
30-31	ECOG	μV	800	1	2000
31-32	ECOG	μV	800	1	2000
