name	x	y	z	size	inteElectrodeDistance	manufacturer
01-02	n/a	n/a	n/a	2.3	5	AdTech
02-03	n/a	n/a	n/a	2.3	5	AdTech
03-04	n/a	n/a	n/a	2.3	5	AdTech
04-05	n/a	n/a	n/a	2.3	5	AdTech
05-06	n/a	n/a	n/a	2.3	5	AdTech
06-07	n/a	n/a	n/a	2.3	5	AdTech
07-08	n/a	n/a	n/a	2.3	5	AdTech
08-09	n/a	n/a	n/a	2.3	5	AdTech
09-10	n/a	n/a	n/a	2.3	5	AdTech
10-11	n/a	n/a	n/a	2.3	5	AdTech
11-12	n/a	n/a	n/a	2.3	5	AdTech
12-13	n/a	n/a	n/a	2.3	5	AdTech
15-16	n/a	n/a	n/a	2.3	5	AdTech
16-17	n/a	n/a	n/a	2.3	5	AdTech
17-18	n/a	n/a	n/a	2.3	5	AdTech
18-19	n/a	n/a	n/a	2.3	5	AdTech
19-20	n/a	n/a	n/a	2.3	5	AdTech
20-21	n/a	n/a	n/a	2.3	5	AdTech
21-22	n/a	n/a	n/a	2.3	5	AdTech
22-23	n/a	n/a	n/a	2.3	5	AdTech
23-24	n/a	n/a	n/a	2.3	5	AdTech
24-25	n/a	n/a	n/a	2.3	5	AdTech
25-26	n/a	n/a	n/a	2.3	5	AdTech
